Date_Time,battery_status,battery_health,battery_voltage,battery_capacity,cpu_temperature,cpufreq
2016/12/21 16:45:20,Full,Good,4.327,100,30,403.2|403.2|403.2|403.2|806.4|806.4|806.4|806.4
2016/12/21 16:45:25,Full,Good,4.328,100,30,403.2|403.2|403.2|403.2|806.4|806.4|806.4|806.4
2016/12/21 16:45:30,Full,Good,4.327,100,30,403.2|403.2|403.2|403.2|806.4|806.4|806.4|806.4
2016/12/21 16:45:35,Full,Good,4.327,100,30,403.2|403.2|403.2|403.2|806.4|806.4|806.4|806.4
2016/12/21 16:45:40,Full,Good,4.327,100,30,403.2|403.2|403.2|403.2|806.4|806.4|806.4|806.4
2016/12/21 16:45:45,Full,Good,4.327,100,30,403.2|403.2|403.2|403.2|806.4|806.4|806.4|806.4
2016/12/21 16:45:50,Full,Good,4.328,100,30,403.2|403.2|403.2|403.2|806.4|806.4|806.4|806.4
2016/12/21 16:45:55,Full,Good,4.327,100,30,403.2|403.2|403.2|403.2|806.4|806.4|806.4|806.4
